name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at
Kenny Nail Bar - London E12,"8 Station Rd, London E12 5BT, UK",07311 326626,https://www.instagram.com/kennynails_london?igsh=ZmRnbjh3ZW04cTB4&utm_source=qr,4.9,195,,OPERATIONAL,,ChIJObTfgg2n2EcRuKzUKQiipic,Nail salon,2025-09-17T16:31:38.058804
Greengate Nails,"558 Barking Rd, London E13 9JU, UK",020 8470 8484,http://greengatenails.co.uk/,4.0,130,,OPERATIONAL,,ChIJ_xwRsMSn2EcR_X1GuJLMXuA,Nail salon,2025-09-17T16:31:38.332541
Elegant Nails,"58 Barking Rd, London E6 3BP, UK",020 8472 1660,,3.3,127,,OPERATIONAL,,ChIJWSsPss6n2EcRlvQ0TnzNF2U,Nail salon,2025-09-17T16:31:38.557229
Luxury Nails 101,"101 Woodgrange Rd, London E7 0EP, UK",07448 815444,https://www.luxurynails101woodgrange.co.uk/,4.5,111,,OPERATIONAL,,ChIJ_ZmMg0qn2EcRamhlycRux2c,Nail salon,2025-09-17T16:31:38.779631
Tips & Toes,"161 Barking Rd, London E16 4HQ, UK",020 7476 4286,,4.3,255,,OPERATIONAL,,ChIJN4CAI-On2EcRm9FNfmPx3bQ,Nail salon,2025-09-17T16:31:38.984143
Pink Nails Spa,"302 Barking Rd, London E13 8HL, UK",07848 019264,https://www.pinknailspa.co.uk/treatments-1,3.8,65,,OPERATIONAL,,ChIJC2AE-cun2EcR8CtjewW09zE,Nail salon,2025-09-17T16:31:39.187534
The Nail Lounge,"Barking Rd, London E6 1LB, UK",,https://app.bookerise.com/customer_booking?booking_link_id=681e56eb6af8cf45cc445aaa,5.0,21,,OPERATIONAL,,ChIJITiwc0Gn2EcRoh9G9l7JB6E,Nail salon,2025-09-17T16:31:39.395888
Michelle's American Nails Ltd,"379 Barking Rd, London E13 8AL, UK",020 7476 6755,,3.6,58,,OPERATIONAL,,ChIJTw9hbd2n2EcRfJ34oYbTagg,Nail salon,2025-09-17T16:31:39.587869
Dream Nails Royal Wharf,"10 Royal Crest Ave., London E16 2TQ, UK",020 7476 0082,https://www.dreamnails.co.uk/,4.6,662,,OPERATIONAL,,ChIJ5YIwQk2p2EcRwFHFzGG2UaY,Nail salon,2025-09-17T16:31:39.824395
Zoe Nail and Spa,"379 Green St, London E13 9AU, UK",020 8471 5328,,3.2,45,,OPERATIONAL,,ChIJC09Avsin2EcR0V_ShUOW5ks,Nail salon,2025-09-17T16:31:40.021496
The Nail Spa,"The Street, Westfield stratford city, London E20 1EJ, UK",07454 939388,https://www.nailspastratford.com/,3.8,574,,OPERATIONAL,,ChIJUxCdiWQddkgRViJjIjXTFLs,Nail salon,2025-09-17T16:31:40.229348
S Beauty Nail&Lash,"GB London, Room 10177 Marsh Wall, SQB E14 9SH, UK",07512 669464,http://ygsn.mase.cloud/,4.9,31,,OPERATIONAL,,ChIJZYwJ_fADdkgRKthDVnJ8dGU,Nail salon,2025-09-17T16:31:40.409042
Catherine Nails Blackwall,"126 Blackwall Way, London E14 9BA, UK",07492 888336,https://instagram.com/catherine71.nails,4.8,161,,OPERATIONAL,,ChIJnyerZk0DdkgRsmt1Km914YQ,Nail salon,2025-09-17T16:31:40.620416
TW Nails Club,"Unit 135, Chimney Parade, Omega Works, 4 Roach Rd, Fish Island, London E3 2GY, UK",07535 676310,https://book.squareup.com/appointments/ymtc84pudzu0h6/location/LB5RPWJ9J4CGX,4.9,107,,OPERATIONAL,,ChIJA9m3YXkddkgRKXPDXR2WSSA,Nail salon,2025-09-17T16:31:40.874480
D&L Nails,"2B Holme Rd, London E6 1LY, UK",020 8127 0718,https://www.instagram.com/dnlnails/,4.2,171,,OPERATIONAL,,ChIJtcO9zpSn2EcRyL3z5sasnuI,Nail salon,2025-09-17T16:31:41.075974
Starlight Nails,"1A Skeffington Rd, London E6 2NA, UK",020 8552 7511,http://www.instagram.com/starlightnails_eastham,4.1,125,,OPERATIONAL,,ChIJCd8V1kmm2EcRDd2GjUW4FDw,Nail salon,2025-09-17T16:31:41.263580
Nail Shop London,"65 W Ham Ln, London E15 4PH, UK",020 8534 9997,,4.5,64,,OPERATIONAL,,ChIJrWvtmIun2EcRoQPKQ1UkOiM,Nail salon,2025-09-17T16:31:41.490695
Kiki Nail Salon,"11 Freemasons Rd, London E16 3AR, UK",020 7474 7787,,4.6,97,,OPERATIONAL,,ChIJFZFKjnSo2EcRF7fS4W2NaJc,Nail salon,2025-09-17T16:31:41.683806
Queen's Nail London,"119 Woodgrange Rd, London E7 0EW, UK",020 8221 2559,,4.4,134,,OPERATIONAL,,ChIJ6bPoPaKn2EcRPNDIl3lNmKc,Nail salon,2025-09-17T16:31:41.920484
Stratford Nails,"40 Warton Rd, London E15 2JS, UK",07913 138888,https://www.stratfordnails.com/,4.2,174,,OPERATIONAL,,ChIJi8LeZmcddkgRPZbJAFRuM5M,Nail salon,2025-09-17T16:31:42.099492
Vogue Fades,"136A Greengate St, London E13 0AS, UK",07932 340831,http://www.vogue-fades.uk/,4.8,120,,OPERATIONAL,,ChIJhS7qG42n2EcRL67dFOL3IEk,Barbers,2025-09-17T16:31:42.833926
Barber,"211 Boundary Rd, London E13 9QF, UK",,,4.7,139,,OPERATIONAL,,ChIJFY4VSKan2EcR9_g9GwiHTYo,Barbers,2025-09-17T16:31:43.043758
King's Place Barbershop,"154 Grange Rd, London E13 0HB, UK",07429 393803,http://kingsplacebarbershop.co.uk/?utm_source=gmb&utm_medium=referral,4.9,96,,OPERATIONAL,,ChIJixmOquin2EcRQMVMpDtPags,Barbers,2025-09-17T16:31:43.231656
Fade Cave Turkish Barbers,"86 High St S, London E6 3RL, UK",07308 471283,https://fadecave.org/,4.9,792,,OPERATIONAL,,ChIJK5mcBZKn2EcRAo-_Gxym5XU,Barbers,2025-09-17T16:31:43.487252
New Trimz,"64B Prince Regent Ln, London E13 8QQ, UK",07415 945485,,4.5,95,,OPERATIONAL,,ChIJD8codNun2EcRz17aZe4AGPY,Barbers,2025-09-17T16:31:43.671902
Ceylon Star Barber Shop,"86 London Rd, London E13 0DD, UK",07939 852060,,4.9,79,,OPERATIONAL,,ChIJn9SFGq-n2EcRF6i9d1N6O5Y,Barbers,2025-09-17T16:31:43.865107
Fadez & Bladez ltd,"131 B166, London E13 8AF, UK",020 3603 6727,https://fadezandbladez.wixsite.com/website,4.2,158,,OPERATIONAL,,ChIJE5Z7pMKn2EcRWZwhPJPd74o,Barbers,2025-09-17T16:31:44.081194
Yasin's Slick n Style,"209 Boundary Rd, London E13 9QF, UK",020 8470 7455,,4.6,171,,OPERATIONAL,,ChIJb9P73dGn2EcR3J_hFv1ccPE,Barbers,2025-09-17T16:31:44.256510
FI Barbers,"91 Upton Ln, London E7 9PB, UK",,,5.0,611,,OPERATIONAL,,ChIJ35qHoX2n2EcR8NbmYQGig20,Barbers,2025-09-17T16:31:44.444896
