name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at,emails
Celebrity Barbers,"845 Romford Rd, London E12 5JY, UK",07502 394565,http://instagram.com/celebrity_barbers,4.3,88,,OPERATIONAL,,ChIJX4QmSVim2EcR8mTHhTIJdeo,barber shops,2025-09-20T22:06:48.180728,
Ilford Lane Barber,"167 Ilford Ln, Ilford IG1 2RS, UK",07729 678636,https://ilfordlanebarberltd.com/,4.8,166,,OPERATIONAL,,ChIJ5UPvH2Gm2EcRbu9uPcIYaOI,barber shops,2025-09-20T22:06:49.624560,
Fade Cave Turkish Barbers,"86 High St S, London E6 3RL, UK",07308 471283,https://fadecave.org/,4.9,796,,OPERATIONAL,,ChIJK5mcBZKn2EcRAo-_Gxym5XU,barber shops,2025-09-20T22:06:52.324578,
Coffee King and Barber King,"Station Parade, Barking IG11 8TU, UK",,,5.0,3,,OPERATIONAL,,ChIJaSKGFNGn2EcR2vYSClYiFZY,barber shops,2025-09-20T22:06:53.866212,
Vogue Fades,"136A Greengate St, London E13 0AS, UK",07932 340831,http://www.vogue-fades.uk/,4.8,120,,OPERATIONAL,,ChIJhS7qG42n2EcRL67dFOL3IEk,barber shops,2025-09-20T22:06:54.061895,
Barber,"211 Boundary Rd, London E13 9QF, UK",,,4.7,129,,OPERATIONAL,,ChIJFY4VSKan2EcR9_g9GwiHTYo,barber shops,2025-09-20T22:06:54.786611,
King's Place Barbershop,"154 Grange Rd, London E13 0HB, UK",07429 393803,http://kingsplacebarbershop.co.uk/?utm_source=gmb&utm_medium=referral,4.9,96,,OPERATIONAL,,ChIJixmOquin2EcRQMVMpDtPags,barber shops,2025-09-20T22:06:55.003591,
FADE TOWN BARBERSHOP,"39 Plashet Grove, London E6 1AD, UK",,https://www.instagram.com/tribal_fadez?igsh=MXY3ZXNyeGRzcmNpeQ==,4.1,38,,OPERATIONAL,,ChIJD0KlRmOn2EcRmi0-odSbffA,barber shops,2025-09-20T22:06:55.468321,
Barbers Block,"433 Roman Rd, Bow, London E3 5LX, UK",07845 734817,,5.0,87,,OPERATIONAL,,ChIJpRkFCK8ddkgRGuqjOV3YV8w,barber shops,2025-09-20T22:06:56.132946,
FI Barbers,"91 Upton Ln, London E7 9PB, UK",,,5.0,613,,OPERATIONAL,,ChIJ35qHoX2n2EcR8NbmYQGig20,barber shops,2025-09-20T22:06:56.312172,
New Trimz,"64B Prince Regent Ln, London E13 8QQ, UK",07415 945485,,4.5,95,,OPERATIONAL,,ChIJD8codNun2EcRz17aZe4AGPY,barber shops,2025-09-20T22:06:56.506944,
Yasin's Slick n Style,"209 Boundary Rd, London E13 9QF, UK",020 8470 7455,,4.6,171,,OPERATIONAL,,ChIJb9P73dGn2EcR3J_hFv1ccPE,barber shops,2025-09-20T22:06:56.691871,
The old alec barbers,"1a Balaam St, London E13 8EB, UK",,https://theoldalecbarbers.co.uk/,4.8,86,,OPERATIONAL,,ChIJYR1dHF-n2EcR2-VLvmr9Oac,barber shops,2025-09-20T22:06:56.874382,
Billy’s Barber's (Stratford),"20 W Ham Ln, London E15 4SA, UK",07944 446944,http://billysbarbers.booksy.com/,4.6,740,,OPERATIONAL,,ChIJNQiNoYun2EcRf0x6PioKZx8,barber shops,2025-09-20T22:06:57.068687,
Hair & Beauti Station,"373 Green St, London E13 9AU, UK",07711 940786,https://sitelift.site/hairandbeautistation/,4.9,326,,OPERATIONAL,,ChIJXThPWjin2EcRJw1wLWc_QzA,barber shops,2025-09-20T22:07:02.424504,hairbeautistation@outlook.com
Barber Social,"6-9 W Park Walk, East Village, London E20 1DH, UK",020 8221 1876,http://www.barbersocial.co.uk/,4.9,399,,OPERATIONAL,,ChIJxTajQ-wddkgRntKnTSiEYEg,barber shops,2025-09-20T22:07:04.830290,"englandenquiries@barbersocial.co, englandenquiries@barbersocial.co.uknameemailsubjectmessagesubmitthanks"
Ceylon Star Barber Shop,"86 London Rd, London E13 0DD, UK",07939 852060,,4.9,79,,OPERATIONAL,,ChIJn9SFGq-n2EcRF6i9d1N6O5Y,barber shops,2025-09-20T22:07:09.054012,
Bstar barber,"41 Prince Regent Ln, London E13 8RH, UK",07865 969078,,4.6,64,,OPERATIONAL,,ChIJ8auG3GOn2EcR4m4i2JAZj5k,barber shops,2025-09-20T22:07:09.244517,
J.G.B Unisex salon,"241b Plaistow Rd, London E15 3EU, UK",,https://jgbunisexhairshop.as.me/,4.8,189,,OPERATIONAL,,ChIJhT7rpten2EcRkNycMbKRVSQ,barber shops,2025-09-20T22:07:09.435419,
Cut above the Rest Barber Studio,"339 Barking Rd, London E6 1LA, UK",020 3643 2055,http://cutabovetherest.co.uk/,4.6,96,,OPERATIONAL,,ChIJ4RTtKTSm2EcRXeyCzhp9kg0,barber shops,2025-09-20T22:07:10.994358,
