name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at,emails
Hunters Estate & Letting Agents Plaistow,"272 Barking Rd, London E13 8HR, UK",020 7474 2345,https://www.hunters.com/office/plaistow?utm_source=google&utm_medium=local,4.6,190,,OPERATIONAL,,ChIJfyPNUuGn2EcRjyl-qGgxZYg,estate agents,2025-09-17T16:59:51.327047,info@www.hunters.com
T J Miller,"148 Plashet Rd, London E13 0QS, UK",020 8514 7788,https://uklocation.org/business/t-j-miller-af90v0,4.8,64,,OPERATIONAL,,ChIJx_eB9Lin2EcRJKlUfqzEkB0,estate agents,2025-09-17T16:59:51.528397,info@uklocation.org
Real Estate Agents London,"75A Barking Rd, London E16 4HB, UK",020 7055 0441,https://realestateagentslondon.co.uk/,4.8,396,,OPERATIONAL,,ChIJjfZBDP2n2EcRoMW6UbBfGj0,estate agents,2025-09-17T16:59:51.822188,info@realestateagentslondon.co.uk
Kevin & Co. Sales & Letting Agents,"The Oxygen, 18 Western Gateway, London E16 1BL, UK",,https://kevinandco.uk/,0.0,0,,OPERATIONAL,,ChIJTUsu-Man2EcRNQ69BFQi0zs,estate agents,2025-09-17T16:59:52.460468,enquiry@kevinandco.uk
Stonebridge Estate Agents,"248 High St N, London E12 6SB, UK",020 8590 1499,http://www.stonebridgelondon.co.uk/,4.9,115,,OPERATIONAL,,ChIJ9aG4mkum2EcRGnLiTKipJvI,estate agents,2025-09-17T16:59:52.645188,info@stonebridgelondon.co.uk
Easymove Estate and Letting Agents | East London,"161 High St N, London E6 1JB, UK",020 8470 0007,http://www.easymoveea.com/,4.6,308,,OPERATIONAL,,ChIJwUPrSEqm2EcRbZv5UCaL6sA,estate agents,2025-09-17T16:59:52.858756,info@www.easymoveea.com
Knights & Co estate agent,"776-778 Barking Rd, London E13 9PJ, UK",020 8004 6224,https://www.knightsandcoestateagent.co.uk/,4.3,25,,OPERATIONAL,,ChIJF427Os-n2EcR0byOMH47hkU,estate agents,2025-09-17T16:59:53.049570,"info@knightsandcoestateagent.co.uk, 9pj02080046224info@knightsandcoestateagent.co.ukuseful"
Reeds Rains Estate Agents Plaistow,"286 Barking Rd, London E13 8HR, UK",020 7474 9157,https://www.reedsrains.co.uk/estate-agent/plaistow?utm_source=google_my_business&utm_medium=organic&utm_campaign=RPLAI1,4.5,190,,OPERATIONAL,,ChIJLbUSTeGn2EcRK6GxMPi8mrw,estate agents,2025-09-17T16:59:53.306599,info@www.reedsrains.co.uk
haart Estate and Lettings Agents East Ham,"219 High St N, London E6 1JG, UK",020 4512 8365,https://www.haart.co.uk/branch-finder/east-ham-estate-agents/?utm_source=organic_gmb&utm_medium=organic&referrer=organic_gmb&y_source=1_MzQ0NjU5ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,685,,OPERATIONAL,,ChIJdfLUu0um2EcRF9jUB8eDMi4,estate agents,2025-09-17T16:59:53.492252,"east.ham@haart.co.uk, east.ham.lettings@haart.co.uk"
Harvey W James,"F1, 415 High St, London E15 4QZ, UK",020 3865 1500,https://www.harveywjames.com/,5.0,211,,OPERATIONAL,,ChIJE3YRc4qn2EcROhAhS9q0jMA,estate agents,2025-09-17T16:59:53.724981,"lettings@harveywjames.com, landlord@harveywjames.com, accounts@harveywjames.com, info@harveywjames.com, property@harveywjames.com, aftercare@harveywjames.com"
Hawks | Estate Agents | East London,"71-73 W Ham Ln, London E15 4PH, UK",020 3002 6769,https://hawksestateagents.com/,4.5,106,,OPERATIONAL,,ChIJKYW0noun2EcR-tXBbLP5dmQ,estate agents,2025-09-17T16:59:53.920972,info@hawksestateagents.com
ARQ Homes,"355-357, Barking Rd, London E6 1LA, UK",020 8472 0011,http://www.arqhomes.co.uk/,4.9,233,,OPERATIONAL,,ChIJD6c4L76n2EcRXQpC9qGT_Gg,estate agents,2025-09-17T16:59:54.126493,"info@arqhomes.co.uk, 1lainfo@arqhomes.co"
Alexander Rose Estates,"Stratford Workshops, 15 Burford Rd, London E15 2SP, UK",020 3051 9877,https://alexanderroseestates.co.uk/,5.0,115,,OPERATIONAL,,ChIJKVJDsVADdkgRGRdZEVsrktw,estate agents,2025-09-17T16:59:54.355201,"admin@alexanderroseestates.co.uk, 8301hello@alexanderroseestates.co.ukhomeabout, admin@alexanderroseestates.co.ukopening"
Samuel King Estate Agents,"Londis Supermarket, 143 Barking Rd, London E16 4HQ, UK",020 7474 6000,http://www.samuelking.co.uk/,3.9,52,,OPERATIONAL,,ChIJPU43Lv2n2EcR4fmerqtp7A4,estate agents,2025-09-17T16:59:54.533693,eastlondon@samuelking.co.uk
Michael Steven,"766 Barking Rd, London E13 9PJ, UK",020 8472 6666,http://www.michaelsteven.co.uk/,4.1,39,,OPERATIONAL,,ChIJG1xdOM-n2EcRxDYfm3sHAZE,estate agents,2025-09-17T16:59:54.726098,steven@michaelsteven.co.uk
Elliott Davis Properties,"500 Green St, London E13 9DB, UK",020 8552 0711,https://ukmaplocation.org/business/elliott-davis-properties-adrgfx,2.5,26,,OPERATIONAL,,ChIJBQsijMin2EcR5rQ_dN_2B8A,estate agents,2025-09-17T16:59:54.948741,info@ukmaplocation.org
Kingdom Property Agents Ltd,"91Katherine Road, London E6 1EW, UK",020 8821 0287,https://ukmapslocation.org/business/kingdom-property-agents-ltd-ol72tp,5.0,54,,OPERATIONAL,,ChIJicLUyMqn2EcRHRZfTn5uabI,estate agents,2025-09-17T16:59:55.123678,info@ukmapslocation.org
Bismilla Property Ltd,"747 Barking Rd, London E13 9ER, UK",020 8586 6779,https://bismillaproperty.com/,4.5,18,,OPERATIONAL,,ChIJCatAOM-n2EcR_e2I2mTN_2Q,estate agents,2025-09-17T16:59:55.403801,bishalbismillaproperty@gmail.com
JLL Stratford Real Estate,"5 Station St, London E15 1LA, UK",020 3147 1500,https://residential.jll.co.uk/offices/estate-agent-stratford,4.7,451,,OPERATIONAL,,ChIJSQkxlWEddkgRsJQ2R3lwA2g,estate agents,2025-09-17T16:59:55.598741,info@residential.jll.co.uk
David Daniels,"49C Leytonstone Rd, London E15 1JA, UK",020 8555 3521,http://www.daviddaniels.co.uk/,4.2,297,,OPERATIONAL,,ChIJQcFIVY-n2EcR1Yy9loVJ3ok,estate agents,2025-09-17T16:59:55.795050,info@www.daviddaniels.co.uk
BK Property Management Services - Guaranteed Rent,"136 Katherine Rd, London E6 1ER, UK",020 8470 1420,https://www.bkpropertymanagementservices.com/,5.0,24,,OPERATIONAL,,ChIJvdjKLQCn2EcRqrfM2cQeXtc,property management,2025-09-17T16:59:56.543184,info@www.bkpropertymanagementservices.com
J Property Management,"7 Bell Yard, London WC2A 2JR, UK",020 3105 5898,http://www.jpropertymanagement.co.uk/,4.8,33,,OPERATIONAL,,ChIJWTF3B9gBdkgRMNQ1jXftdG8,property management,2025-09-17T16:59:56.737973,info@jpropertymanagement.co.uk
Key2Key Property Management,"120 Upton Ln, London E7 9LW, UK",020 8552 4777,http://www.key2keyproperties.com/,4.8,155,,OPERATIONAL,,ChIJTTTdtL2n2EcREeXyaw0MU4E,property management,2025-09-17T16:59:56.975357,enquiries@key2keyproperties.com
Chasteau Property Management,"1st Floor, 415 High St, London E15 4QZ, UK",07833 444254,http://chasteaupropertymanagement.co.uk/,4.2,20,,OPERATIONAL,,ChIJ__8Lc4qn2EcR1g2HIRIhjdE,property management,2025-09-17T16:59:57.149617,webmaster@chasteaupropertymanagement.co.uk
Imperial Dragon Property Management,"30 Churchill Pl, London E14 5RE, UK",020 7096 0964,http://www.imperialdragonproperty.com/,4.4,39,,OPERATIONAL,,ChIJDYHOJcwEdkgRiVHRULwdLFM,property management,2025-09-17T16:59:57.340048,info@imperialdragonproperty.com
